loan_type,transaction_type,channel,last_name,merchant_name,status,loan_status,customer_id,first_name,credit_score,principal_amount,amount,credit_score_bucket,principal_bucket,loan_customer_transactions
Home,Debit,UPI,W***,O***,Success,Active,CUST-11352,A***,761,1500000,2606,Good,medium bucket,Standard
Home,Debit,NetBanking,P***,L*** L***,Flagged,Active,CUST-10108,T***,650,1500000,29251.82,Average,medium bucket,Standard
Home,Credit,UPI,F***,A***,Success,Active,CUST-10676,J***,560,100000,14458.24,Risky,low bucket,Standard
Home,Debit,POS,O***,H*** R*** a*** R***,Success,Active,CUST-10315,A***,504,500000,22237.43,Risky,low bucket,Standard
Home,Credit,ATM,G***,C***,Success,Active,CUST-11394,C***,599,100000,41952.76,Risky,low bucket,Standard
Home,Debit,ATM,L***,T***,Failed,Active,CUST-11336,T***,496,500000,28776.65,Risky,low bucket,Standard
Home,Debit,ATM,F***,O*** L***,Flagged,Active,CUST-10834,B***,745,100000,304.1,Average,low bucket,Standard
Home,Debit,NetBanking,P***,R***,Flagged,Active,CUST-11388,A***,733,100000,39761.56,Average,low bucket,Standard
Home,Debit,POS,M***,M*** M*** a*** H***,Success,Active,CUST-10656,B***,630,500000,35228.05,Risky,low bucket,Standard
Home,Credit,POS,B***,N***,Success,Active,CUST-10129,M***,603,1500000,19369.35,Risky,medium bucket,Standard
Home,Debit,NetBanking,M***,J*** S*** a*** E***,Success,Active,CUST-11115,J***,821,100000,9663.53,Good,low bucket,Standard
Home,Debit,NetBanking,L***,S*** M*** a*** C***,Success,Active,CUST-11145,W***,758,5000000,7953.82,Good,medium bucket,Standard
Home,Credit,NetBanking,W***,W*** S*** a*** J***,Success,Active,CUST-10525,M***,385,1500000,41564.15,Risky,medium bucket,Standard
Home,Debit,NetBanking,C***,B*** N*** a*** L***,Success,Active,CUST-10635,J***,720,1500000,28499.38,Average,medium bucket,Standard
Home,Debit,POS,G***,H*** P***,Flagged,Active,CUST-11459,M***,435,5000000,22363.55,Risky,medium bucket,Standard
Home,Debit,UPI,R***,V*** G***,Success,Active,CUST-11283,T***,420,100000,7412.57,Risky,low bucket,Standard
Home,Debit,POS,V***,G*** J*** a*** M***,Failed,Active,CUST-11061,M***,771,100000,47540.87,Good,low bucket,Standard
Home,Debit,UPI,L***,L*** H*** a*** A***,Success,Active,CUST-10631,A***,678,100000,14028.93,Average,low bucket,Standard
Home,Credit,NetBanking,N***,L*** a*** S***,Success,Active,CUST-10441,S***,646,500000,8425.88,Risky,low bucket,Standard
Home,Credit,ATM,H***,M*** R*** a*** J***,Success,Active,CUST-11409,N***,576,1500000,41805.08,Risky,medium bucket,Standard
Home,Debit,POS,F***,M*** R*** a*** M***,Flagged,Active,CUST-10818,B***,492,500000,30827.93,Risky,low bucket,Standard
Home,Credit,UPI,S***,M*** a*** S***,Failed,Active,CUST-11445,G***,751,5000000,26165.75,Good,medium bucket,Standard
Home,Debit,UPI,H***,T*** R*** a*** H***,Failed,Active,CUST-10412,J***,451,1500000,4450.03,Risky,medium bucket,Standard
Home,Debit,UPI,V***,S*** L***,Flagged,Active,CUST-10017,E***,612,500000,43714.5,Risky,low bucket,Standard
Home,Debit,UPI,C***,S***,Failed,Active,CUST-10766,T***,420,5000000,5607.06,Risky,medium bucket,Standard
Home,Debit,UPI,T***,B***,Success,Active,CUST-11417,J***,686,5000000,40071.36,Average,medium bucket,Standard
Home,Debit,POS,M***,W*** G*** a*** R***,Success,Active,CUST-10158,A***,421,1500000,39608.58,Risky,medium bucket,Standard
Home,Credit,POS,K***,O***,Flagged,Active,CUST-10680,N***,785,100000,9403.85,Good,low bucket,Standard
Home,Credit,ATM,B***,P*** N*** a*** B***,Success,Active,CUST-10757,M***,829,5000000,2470.6,Good,medium bucket,Standard
Home,Debit,NetBanking,L***,R*** F*** a*** H***,Flagged,Active,CUST-10231,J***,638,500000,18779,Risky,low bucket,Standard
Home,Credit,ATM,C***,A***,Success,Active,CUST-10404,A***,384,1500000,12017.78,Risky,medium bucket,Standard
Home,Credit,NetBanking,P***,L*** S*** a*** H***,Success,Active,CUST-10346,N***,432,500000,32900.94,Risky,low bucket,Standard
Home,Debit,POS,E***,F***,Success,Active,CUST-11214,J***,810,1500000,26328.48,Good,medium bucket,Standard
Home,Debit,NetBanking,G***,F*** J*** a*** K***,Success,Active,CUST-11382,T***,646,100000,9207.18,Risky,low bucket,Standard
Home,Debit,POS,L***,H*** H*** a*** K***,Failed,Active,CUST-10021,R***,481,1500000,31461.16,Risky,medium bucket,Standard
Home,Debit,POS,K***,F*** P*** a*** H***,Flagged,Active,CUST-11226,M***,665,1500000,22073.62,Average,medium bucket,Standard
Home,Credit,UPI,D***,G***,Failed,Active,CUST-11429,K***,731,1500000,41930.72,Average,medium bucket,Standard
